Playlist_Name,Username,Track_Title,Track_ID,Artist,Duration_ms,Popularity,Explicit,Album,Release_Date,Label,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Time_Signature
Shahid Kapoor,Slavvy Coelho,Pump It Up,4HuUT7rzOHjN6ReLKDpoc5,Vishal Dadlani,286586,20,False,Chance Pe Dance,2009-12-14,T-Series,0.739,0.804,9,-7.739,0.0732,0.0144,0.00599,0.0691,132.014,4
Shahid Kapoor,Slavvy Coelho,Pal Mein Hi,080hkrVhOQn0T4kLEogEEn,Soham Chakraborty,244760,22,False,Chance Pe Dance,2009-12-14,T-Series,0.723,0.724,9,-7.882,0.0329,0.386,6.47e-06,0.148,119.962,4
Shahid Kapoor,Slavvy Coelho,Aye Khuda,1vgVsR5rkXGP4NmUcoroJH,Salim Merchant,280497,49,False,Paathshaala,2010-03-15,T-Series,0.656,0.762,9,-6.328,0.0315,0.549,0,0.139,110.002,4
Shahid Kapoor,Slavvy Coelho,Bekarar,4sxZlvnHFiK3jrXpWDI0AL,Lucky Ali,262942,30,False,Paathshaala,2010-03-15,T-Series,0.561,0.555,2,-5.111,0.0287,0.0307,0,0.195,101.902,4
Shahid Kapoor,Slavvy Coelho,Main Rang Sharbaton Ka - Sunday Morning,48XStF2nUq1douXa9YQz02,Penn Masala,280373,39,False,Resonance,2015-12-11,Penn Masala,0.587,0.665,9,-7.874,0.0457,0.414,0,0.553,92.052,4
Shahid Kapoor,Slavvy Coelho,Dekhte Dekhte,1scGwkyXNCl19wrBDhnAWg,Atif Aslam,256271,56,False,Batti Gul Meter Chalu,2018-09-08,T-Series,0.799,0.828,9,-4.846,0.0782,0.424,0,0.145,105.04,4
Shahid Kapoor,Slavvy Coelho,Rabba Main Toh Mar Gaya Oye,0UlJKSmbpSPaRxUnr0lpgH,Shahid Mallya,280520,43,False,Mausam,2011-08-11,T-Series,0.577,0.821,9,-4.553,0.0545,0.331,0,0.295,87.982,4
Gym,Slavvy Coelho,Too Original,2brlJDvGkO57WiBe2te5eO,Major Lazer,207395,48,True,Peace Is The Mission (Extended),2015-11-27,Mad Decent,0.685,0.944,0,-3.038,0.166,0.0458,9.39e-06,0.822,128.014,4
Gym,Slavvy Coelho,Fogo (feat. Julimar Santos),7uKjjI2a4Ia8nHKzgdya1y,Garmiani,148242,53,False,Fogo (feat. Julimar Santos),2017-08-18,Spinnin' Records,0.748,0.973,5,-2.557,0.104,0.0987,0.0301,0.325,128.059,4
Gym,Slavvy Coelho,Great Spirit - Extended Mix,1bxtePWzYybaPiUZqvgQVf,Armin van Buuren,457826,50,False,Great Spirit,2016-12-12,Armind,0.349,0.94,1,-5.949,0.0707,0.00307,0.161,0.474,138.051,4
