Playlist_Name,Username,Track_Title,Track_ID,Artist,Duration_ms,Popularity,Explicit,Album,Release_Date,Label,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Time_Signature
My playlist,Anushree,Home,10ViidwjGLCfVtGPfdcszR,Edward Sharpe & The Magnetic Zeros,306320,73,False,Up From Below,2009-07-13,Rough Trade,0.545,0.59,2,-6.693,0.0327,0.32,0.000389,0.124,111.739,4
My playlist,Anushree,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,199080,80,False,TALKING IS HARD,2014-12-02,RCA Records Label,0.578,0.866,1,-3.804,0.0619,0.00701,0,0.257,128.038,4
My playlist,Anushree,Ex's & Oh's,70eDxAyAraNTiD6lx2ZEnH,Elle King,202173,72,False,Love Stuff,2015-02-13,RCA Records Label,0.612,0.921,7,-2.879,0.0848,0.0183,0,0.0576,139.986,4
My playlist,Anushree,Crazy Little Thing Called Love - Remastered 2011,6xdLJrVj4vIXwhuG8TMopk,Queen,163373,74,False,The Game (2011 Remaster),1980-06-27,EMI,0.599,0.761,0,-6.887,0.0421,0.713,4.74e-06,0.349,77.015,4
My playlist,Anushree,I Believe in You,67aeyMdt7cgb8l9zg53Pfm,Michael Bublé,201813,59,False,Nobody but Me (Deluxe),2016-10-21,Reprise,0.612,0.744,8,-5.671,0.033,0.125,2.57e-06,0.0978,113.009,4
My playlist,Anushree,Next To Me,2C5l2dK6ep2JRgQ9UenCBs,Emeli Sandé,196746,54,False,Our Version Of Events (Special Edition),2012-01-01,Virgin,0.664,0.799,7,-5.121,0.0368,0.0932,0.000108,0.105,94.991,4
My playlist,Anushree,Habits (Stay High),70AoHzwXbJBdz3DZ5fSDfY,Tove Lo,208000,0,False,Habits (Stay High),2014-03-03,Island Records,0.691,0.712,5,-3.421,0.0327,0.0557,2.73e-05,0.0896,110.007,4
My playlist,Anushree,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",6pyzBTIjcO2AMkKE6x2Otb,Bee Gees,285373,0,False,Greatest,1979-01-01,Universal Music Group,0.703,0.826,10,-7.179,0.0341,0.0322,0.00629,0.179,103.564,4
My playlist,Anushree,Billie Jean,5ChkMS8OtdzJeqyybCc9R5,Michael Jackson,293826,82,False,Thriller 25 Super Deluxe Edition,1982-11-30,Epic/Legacy,0.92,0.654,11,-3.051,0.0401,0.0236,0.0158,0.0359,117.046,4
My playlist,Anushree,Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,Red Hot Chili Peppers,264306,81,False,Blood Sugar Sex Magik (Deluxe Edition),1991-09-24,Warner Records,0.559,0.345,4,-13.496,0.0459,0.0576,0.000105,0.141,84.581,4
