Playlist_Name,Username,Track_Title,Track_ID,Artist,Duration_ms,Popularity,Explicit,Album,Release_Date,Label,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Time_Signature
Elden Ring (but everyone's hollow),pansy,Feeling Numb,7z3OBrgF771rtSMxFKtvY9,LANCER,194210,0,True,Feeling Numb,2020-07-17,LANCER,0.885,0.791,6,-7.553,0.36,0.0245,0,0.0968,110.013,4
Elden Ring (but everyone's hollow),pansy,Take My Soul,32hjsxNNB3Nv25eItvxIOH,Burgos,136000,38,True,Take My Soul,2019-12-14,TRASH Records,0.631,0.331,0,-11.315,0.0311,0.713,0,0.171,113.934,4
Elden Ring (but everyone's hollow),pansy,Leave Me Alone,3JExInUNzE8ZlGmobrSZ1W,$uicideBoy$,110837,52,True,KILL YOURSELF Part XIX: The Deep End Saga,2017-09-10,"G59 Records, LLC",0.607,0.49,8,-6.764,0.076,0.0053,0.013,0.0926,129.857,4
Elden Ring (but everyone's hollow),pansy,Do You Believe In God?,0Xq0JbzlxLGNfdyR9gM5y2,$uicideBoy$,118073,64,True,Grey Sheep II,2016-05-25,"G59 Records, LLC",0.794,0.534,0,-5.698,0.0509,0.0388,1e-05,0.555,120.069,4
Elden Ring (but everyone's hollow),pansy,Mislead,3AfGyAS4nTAkfpBF21ppVL,SuperDuperWavey,139285,23,True,Alone,2019-03-16,882214 Records DK,0.812,0.434,6,-9.424,0.0735,0.289,0,0.223,111.989,4
Elden Ring (but everyone's hollow),pansy,I Feel Weak,4OizYI3KXqxEnCmAHX8JWB,Soul,170788,19,True,I Feel Weak,2020-06-08,Soul Records,0.746,0.748,5,-5.62,0.0724,0.252,0,0.159,90.039,4
Elden Ring (but everyone's hollow),pansy,Hollow Again,1kkztE0tpryildZ8sC4oZN,Project 86,271348,22,False,Truthless Heroes,2002-09-17,Atlantic Records,0.36,0.862,9,-4.716,0.101,0.000145,0.342,0.101,85.721,4
Elden Ring (but everyone's hollow),pansy,Tie Me a Noose,6Xbi64wLTdBcx8sbvkpG5E,Wednesday 13,255581,17,True,Necrophaze,2019-09-27,Nuclear Blast,0.535,0.972,5,-7.949,0.0631,5.62e-06,0.000357,0.111,117.975,4
Elden Ring (but everyone's hollow),pansy,Good Day to Die,7b01IgAeTeeNjxZUVhDxiz,Wednesday 13,156146,8,False,The Warner Years,2020-05-08,Warner Music Group - X5 Music Group,0.12,0.985,2,-2.805,0.124,0.000148,0.124,0.302,180.345,4
Elden Ring (but everyone's hollow),pansy,We All Die,4XJ9y8JCmDAzEYS77vMnk3,Wednesday 13,181933,5,True,Undead Unplugged,2014-07-07,Napalm Records,0.603,0.524,10,-8.148,0.0274,0.412,0,0.155,110.02,4
Elden Ring (but everyone's hollow),pansy,Why Did I Believe It?,6b2PHwyQMHnqLefRNZSV61,Find The Gate,131700,0,False,I'm Nothing Sans God,2020-02-07,Find The Gate,0.597,0.603,9,-7.674,0.0349,0.753,0,0.249,118.079,4
Elden Ring (but everyone's hollow),pansy,The Fear,1sUTpzFnPlUDRLJrToUG0z,Death Grips,200917,39,False,Year Of The Snitch,2018-06-22,Death Grips,0.312,0.878,8,-6.301,0.0475,0.589,0,0.892,82.632,4
Elden Ring (but everyone's hollow),pansy,Breath of Death,1B7JhRZMvd5BwGbEpLTCRq,Henker,169280,19,True,Slave of My Art,2010-10-13,Henker,0.262,0.887,2,-6.176,0.0875,0.000438,0.0114,0.319,135.64,3
Elden Ring (but everyone's hollow),pansy,Hollow,4V4bXHGCqZXB92iL8oNlbt,Acrania,142250,0,False,Totalitarian Dystopia,2014-08-19,Unique Leader Records,0.336,0.879,6,-6.678,0.0939,0.00162,0.795,0.563,129.524,4
Elden Ring (but everyone's hollow),pansy,So. Heavy.,0x2J81IoRnA1BVJSM2OkeN,Psychostick,288004,0,True,IV Revenge of the Vengeance,2014-10-31,Rock Ridge Music,0.528,0.921,1,-5.6,0.192,5.76e-05,0.0028,0.267,120.573,4
Elden Ring (but everyone's hollow),pansy,All for Nothing,3GQTzqBksu3A6wOpwutr3I,Despised Icon,194946,28,False,Day of Mourning,2009-07-13,Century Media,0.57,0.969,11,-1.985,0.185,0.000206,0.302,0.152,112.524,4
Elden Ring (but everyone's hollow),pansy,The Lonely Deceased,3WWTDcORoILuQZ4HBSWe7i,The Black Dahlia Murder,306346,30,False,Nightbringers,2017-10-06,Metal Blade Records,0.206,0.983,5,-5.132,0.163,1.06e-05,0.147,0.261,180.147,3
